category,classified result,actual class

digit,O,0

digit,O,0

digit,Z,7

digit,U,8

letter,0,B

letter,D,B

letter,0,D

letter,U,D

letter,0,D

letter,0,D

letter,0,D

letter,0,D

letter,M,D

letter,M,D

letter,M,D

letter,M,D

letter,M,D

letter,O,D

letter,M,D

letter,F,E

letter,L,E

letter,0,G

letter,1,I

letter,1,I

letter,1,I

letter,1,I

letter,1,I

letter,1,I

letter,1,I

letter,1,I

letter,3,J

letter,0,O

letter,U,Q

letter,U,Q

letter,U,Q

letter,P,R

letter,8,S

letter,G,S

letter,B,S

letter,0,U

sequence,D,0
sequence,D,0
sequence,S,5
sequence,Z,2
sequence,D,B
sequence,I,D
sequence,7,9
sequence,Q,0
sequence,8,B
sequence,P,H
sequence,Q,O
sequence,1,L
sequence,T,1
sequence,1,J
sequence,G,6
sequence,O,0
sequence,Q,0
sequence,U,H
sequence,U,H
sequence,I,J
sequence,I,1
sequence,T,1
sequence,F,E
sequence,B,8
sequence,V,Y
sequence,S,G
sequence,I,D
sequence,1,I
sequence,U,D
sequence,C,O
sequence,0,O
sequence,Z,2
sequence,1,0
sequence,1,J
sequence,2,7
sequence,7,9
sequence,1,I
sequence,N,H
sequence,B,D
sequence,Q,O
sequence,T,L
sequence,0,D
